UEISID,REPORTID,VERSION,DBKEY,AUDITYEAR,UEI,SEQNUM
325,953350,1,181450,2022,MDNXGC7FNMY8,001
5261,987763,1,217653,2022,JNV6EANHXKS6,001
5262,987763,1,217653,2022,L2WSAZYJWHL8,002
5263,987763,1,217653,2022,Y8V2Z7GMQNA6,003
5264,987763,1,217653,2022,GWZKVAJTLR32,004
5265,987763,1,217653,2022,EMZLK98FCKC5,005
5266,987763,1,217653,2022,MKMSFE3FTU15,006
5267,987763,1,217653,2022,CQAQB3BXT937,007
5268,987763,1,217653,2022,CJPVZPBT2P93,008
5269,987763,1,217653,2022,VGP7WT58HM73,009
5270,987763,1,217653,2022,F9EJW2M64PQ8,010
5271,987763,1,217653,2022,M3GMKMZ47AH4,011
5272,987763,1,217653,2022,N7CTWFSM8KM9,012
5273,987763,1,217653,2022,JZW3FXQRNNV9,013
5274,987763,1,217653,2022,M9E9SHYN6JA7,014
5275,987763,1,217653,2022,HWDDBYUF94H4,015
5276,987763,1,217653,2022,UPWNL2S7ZSW3,016
5277,987763,1,217653,2022,HJ7DHD51ZYS5,017
5278,987763,1,217653,2022,Q1LQMB9Y92J5,018
5279,987763,1,217653,2022,CNU3LQSG6JE9,019
5280,987763,1,217653,2022,LH8ZV8QY5JY5,020
5281,987763,1,217653,2022,Y8JYQ33G9LU3,021
5282,987763,1,217653,2022,MEUDB7ARJF23,022
5283,987763,1,217653,2022,KB6GAV7KBEA9,023
5284,987763,1,217653,2022,X94LLZMC8CK6,024
5285,987763,1,217653,2022,G1A1SEZ2NAJ3,025
5286,987763,1,217653,2022,LJ35MVVFNLQ3,026
5287,987763,1,217653,2022,ZYDSKLSEP8C3,027
5288,987763,1,217653,2022,MUUJKH6KKM29,028
5289,987763,1,217653,2022,EMWMCNT3HJA9,029
5290,987763,1,217653,2022,JDCPBD6K32X5,030
5291,987763,1,217653,2022,PAJNMHKPKML6,031
5292,987763,1,217653,2022,WMKBUWQQ3KH3,032
5293,987763,1,217653,2022,KM3LJMLEN9L3,033
5294,987763,1,217653,2022,WU58Q4C48265,034
5295,987763,1,217653,2022,NNQBJN6XFKM1,035
5296,987763,1,217653,2022,NRCEM34UBAY8,036
5297,987763,1,217653,2022,D5NNSVNJ2PA5,037
5298,987763,1,217653,2022,PZKXP3EK9YM4,038
5299,987763,1,217653,2022,ML2SCN16HKD4,039
5300,987763,1,217653,2022,S9BLJD1KG8X8,040
5301,987763,1,217653,2022,N5BEJ9PNHNQ1,041
5302,987763,1,217653,2022,MYJ3Q8B5WMM1,042
5303,987763,1,217653,2022,GXYULZ37DM93,043
5304,987763,1,217653,2022,EM9RF3G279T5,044
5305,987763,1,217653,2022,GEA7EJ3AQ1J1,045
5306,987763,1,217653,2022,V1F7LCWHLDJ3,046
5307,987763,1,217653,2022,ENWBKZ2BF3Y8,047
5308,987763,1,217653,2022,U7M9GP6LNWG9,048
5309,987763,1,217653,2022,KHS8TQPAAWJ7,049
5310,987763,1,217653,2022,DSWNR4LL3KB5,050
5311,987763,1,217653,2022,KJCVLR24HA84,051
5312,987763,1,217653,2022,TNLDYJXNAAD9,052
5313,987763,1,217653,2022,CFM3FKKTR8K7,053
5314,987763,1,217653,2022,MDQKPLF5E5K7,054
5315,987763,1,217653,2022,KBCVSR8VMWG9,055
5316,987763,1,217653,2022,KYJ6Q89L6E91,056
5317,987763,1,217653,2022,EC57MWGRR2J7,057
5318,987763,1,217653,2022,DA3LCSM8WYR5,058
5319,987763,1,217653,2022,XPKKLJJA6U63,059
5320,987763,1,217653,2022,J4BXMG1BAJR8,060
5321,987763,1,217653,2022,NBK5LCS5S9Z5,061
5322,987763,1,217653,2022,FD4HBC8KZSQ2,062
5323,987763,1,217653,2022,VPEFQHWCPLW8,063
5324,987763,1,217653,2022,SDL9MMF19U43,064
5325,987763,1,217653,2022,CMD9T4M5R755,065
5326,987763,1,217653,2022,GAHUL6VT1ZT2,066
5327,987763,1,217653,2022,QYCXPZSSB6C8,067
5328,987763,1,217653,2022,LLVSN3Y9VHZ7,068
5329,987763,1,217653,2022,K5AHVKG62N29,069
5330,987763,1,217653,2022,TQJSBLAWNMM5,070
5331,987763,1,217653,2022,N7A9C4V84NH1,071
5332,987763,1,217653,2022,M53MAXM4N4H7,072
5333,987763,1,217653,2022,JFMSHFXGAEW9,073
5334,987763,1,217653,2022,N5UKP9DN7PC1,074
5335,987763,1,217653,2022,H4FJK9QB6AF4,075
5336,987763,1,217653,2022,E4EPLCDBCEZ3,076
5337,987763,1,217653,2022,YF74XRMF6T11,077
5338,987763,1,217653,2022,V4HWA7TN9NM7,078
5339,987763,1,217653,2022,MBEMUHYFP2N8,079
5340,987763,1,217653,2022,DKVTWF4HD4Q4,080
5341,987763,1,217653,2022,C6J3MMW1DM64,081
5342,987763,1,217653,2022,NAVBJ6MLVGD3,082
5343,987763,1,217653,2022,H4LSFJH8JD71,083
5344,987763,1,217653,2022,HDMWF29Y8643,084
5345,987763,1,217653,2022,U2WJU6HFLUY9,085
5346,987763,1,217653,2022,ESCJLC9ARM91,086
5347,987763,1,217653,2022,ZLSKXWMVCW33,087
5348,987763,1,217653,2022,NLZWNZ5ZUML3,088
5349,987763,1,217653,2022,RB2AKLXUUFB7,089
5350,987763,1,217653,2022,NNU8WL1KA5Q1,090
5351,987763,1,217653,2022,D5MPZTPKJ134,091
5352,987763,1,217653,2022,S5LZV1QKX797,092
5353,987763,1,217653,2022,XDLFCG81Z3G9,093
5354,987763,1,217653,2022,P8CHDLUJCQD3,094
5355,987763,1,217653,2022,WF4KAPFPX1H6,095
5356,987763,1,217653,2022,CZBSJ28DBAK7,096
5357,987763,1,217653,2022,K96EPDBLJEH1,097
5358,987763,1,217653,2022,W69JQHAF6PN1,098
5359,987763,1,217653,2022,MAYGKM86LZQ3,099
5360,987763,1,217653,2022,S4HDZ34UMM79,100
5361,987763,1,217653,2022,UNLCRBWJ55C3,101
5362,987763,1,217653,2022,DYM3ZYZHNH79,102
5363,987763,1,217653,2022,MSXPK6CDHZ28,103
622,957641,1,171447,2022,GNFTJL1SKWA5,001
5041,974436,2,156524,2022,LER9LGBJQNM7,001
