ID,NAME,SORT_NUM
55,HEAD START CLUSTER,179
50,477 CLUSTER,90
51,"MATERNAL, INFANT, AND EARLY CHILDHOOD HOME VISITING CLUSTER",207
2,RESEARCH AND DEVELOPMENT,10
3,STUDENT FINANCIAL ASSISTANCE,20
5,AGING CLUSTER,100
6,CCDF CLUSTER,105
7,CDFI CLUSTER,110
8,CHILD NUTRITION CLUSTER,115
9,CLEAN WATER STATE REVOLVING FUND CLUSTER,120
10,COMMUNITY FACILITIES LOANS AND GRANTS CLUSTER,125
11,DISABILITY INSURANCE/SSI CLUSTER,130
12,DRINKING WATER STATE REVOLVING FUND CLUSTER,135
13,ECONOMIC DEVELOPMENT CLUSTER,140
14,EMPLOYMENT SERVICE CLUSTER,145
15,FEDERAL TRANSIT CLUSTER,150
16,FEDERAL MOTOR CARRIER SAFETY ASSISTANCE (FMCSA),151
17,FISH AND WILDLIFE CLUSTER,155
18,FOOD DISTRIBUTION CLUSTER,160
19,FOREIGN FOOD AID DONATION CLUSTER,165
20,FOREST SERVICE SCHOOLS AND ROADS CLUSTER,170
21,FOSTER GRANDPARENT/SENIOR COMPANION CLUSTER,175
22,HEALTH CENTER PROGRAM CLUSTER,180
23,HIGHWAY PLANNING AND CONSTRUCTION CLUSTER,185
24,HIGHWAY SAFETY CLUSTER,190
25,HOPE VI CLUSTER,195
26,HOUSING VOUCHER CLUSTER,200
27,HURRICANE SANDY RELIEF CLUSTER,205
28,MEDICAID CLUSTER,210
29,SCHOOL IMPROVEMENT GRANTS CLUSTER,215
30,SECTION 8 PROJECT-BASED CLUSTER,220
31,SNAP CLUSTER,225
32,SPECIAL EDUCATION CLUSTER (IDEA),230
33,TANF CLUSTER,235
34,TRANSIT SERVICES PROGRAMS CLUSTER,240
35,TRIO CLUSTER,245
36,WATER AND WASTE PROGRAM CLUSTER,250
37,WIOA CLUSTER,255
41,CDBG - ENTITLEMENT GRANTS CLUSTER,107
42,CDBG - DISASTER RECOVERY GRANTS - PUB. L. NO. 113-2 CLUSTER,106
